# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-03-12 11:33:50 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 06933500 Gasconade River at Jerome, MO
# -----------------------------------------------------------------------------------
#
# Data provided for site 06933500
#            TS   parameter     statistic     Description
#         75905       00065     30800     Gage height, feet (Observation at 08:00 AM)
#         75906       00060     00003     Discharge, cubic feet per second (Mean)
#         75907       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	75905_00065_30800	75905_00065_30800_cd	75906_00060_00003	75906_00060_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	06933500	2009-03-01	2.98	A	1920	A
USGS	06933500	2009-03-02	3.26	A	2120	A
USGS	06933500	2009-03-03	3.12	A	1960	A
USGS	06933500	2009-03-04	3.00	A	1840	A
USGS	06933500	2009-03-05	3.01	A	1900	A
USGS	06933500	2009-03-06	3.12	A	1980	A
USGS	06933500	2009-03-07	3.09	A	1950	A
USGS	06933500	2009-03-08	3.05	A	1900	A
USGS	06933500	2009-03-09	3.00	A	1830	A
USGS	06933500	2009-03-10	2.93	A	1780	A
USGS	06933500	2009-03-11	2.92	A	1760	A
USGS	06933500	2009-03-12	2.90	A	1730	A
USGS	06933500	2009-03-13	2.85	A	1680	A
USGS	06933500	2009-03-14	2.82	A	1650	A
USGS	06933500	2009-03-15	2.78	A	1600	A
USGS	06933500	2009-03-16	2.73	A	1540	A
USGS	06933500	2009-03-17	2.67	A	1480	A
USGS	06933500	2009-03-18	2.60	A	1410	A
USGS	06933500	2009-03-19	2.63	A	1450	A
USGS	06933500	2009-03-20	2.60	A	1420	A
USGS	06933500	2009-03-21	2.60	A	1420	A
USGS	06933500	2009-03-22	2.60	A	1430	A
USGS	06933500	2009-03-23	2.60	A	1420	A
USGS	06933500	2009-03-24	2.57	A	1510	A
USGS	06933500	2009-03-25	3.53	A	2520	A
USGS	06933500	2009-03-26	3.57	A	2690	A
USGS	06933500	2009-03-27	4.02	A	3250	A
USGS	06933500	2009-03-28	4.02	A	3330	A
USGS	06933500	2009-03-29	5.22	A	5430	A
USGS	06933500	2009-03-30	6.73	A	8120	A
USGS	06933500	2009-03-31	7.11	A	8220	A
USGS	06933500	2009-04-01	6.05	A	6370	A
USGS	06933500	2009-04-02	5.33	A	5250	A
USGS	06933500	2009-04-03	5.03	A	4690	A
USGS	06933500	2009-04-04	4.57	A	3960	A
USGS	06933500	2009-04-05	4.28	A	3530	A
USGS	06933500	2009-04-06	4.05	A	3160	A
USGS	06933500	2009-04-07	3.84	A	2880	A
USGS	06933500	2009-04-08	3.70	A	2720	A
USGS	06933500	2009-04-09	3.63	A	2610	A
USGS	06933500	2009-04-10	3.71	A	2840	A
USGS	06933500	2009-04-11	4.06	A	3380	A
USGS	06933500	2009-04-12	4.45	A	3900	A
USGS	06933500	2009-04-13	4.62	A	4180	A
USGS	06933500	2009-04-14	4.78	A	4490	A
USGS	06933500	2009-04-15	5.07	A	5020	A
USGS	06933500	2009-04-16	5.27	A	5130	A
USGS	06933500	2009-04-17	4.90	A	4480	A
USGS	06933500	2009-04-18	4.50	A	3870	A
USGS	06933500	2009-04-19	4.66	A	5800	A
USGS	06933500	2009-04-20	8.12	A	11700	A
USGS	06933500	2009-04-21	9.49	A	13900	A
USGS	06933500	2009-04-22	9.45	A	12700	A
USGS	06933500	2009-04-23	7.13	A	8290	A
USGS	06933500	2009-04-24	6.04	A	6340	A
USGS	06933500	2009-04-25	5.34	A	5200	A
USGS	06933500	2009-04-26	4.81	A	4350	A
USGS	06933500	2009-04-27	4.44	A	3780	A
USGS	06933500	2009-04-28	4.20	A	3400	A
USGS	06933500	2009-04-29	3.99	A	3130	A
USGS	06933500	2009-04-30	4.03	A	3210	A
USGS	06933500	2009-05-01	4.04	A	3230	A
USGS	06933500	2009-05-02	4.10	A	4290	A
USGS	06933500	2009-05-03	6.17	A	7660	A
USGS	06933500	2009-05-04	7.33	A	9320	A
USGS	06933500	2009-05-05	7.97	A	10200	A
USGS	06933500	2009-05-06	7.70	A	9390	A
USGS	06933500	2009-05-07	6.62	A	7420	A
USGS	06933500	2009-05-08	5.86	A	11200	A
USGS	06933500	2009-05-09	14.08	A	26500	A
